,Words,Count
0,event,15
1,alert,13
2,join,10
3,goodfoodscience,9
4,journal,9
5,uk,8
6,club,8
7,cellularagriculture,8
8,great,8
9,amazing,7
10,alternativeproteins,7
11,come,7
12,cellular,7
13,agriculture,7
14,us,7
15,cellag,7
16,meat,7
17,check,6
18,like,6
19,cultivatedmeat,6
