,Unnamed: 0,Date Created,Number of Likes,Source of Tweet,Tweets,TweetsNoStop,VADARpredictions
24,24,2023-02-04 23:26:32+00:00,1,Twitter for iPhone,@FLproud @jasonwoody @KristenMeghan @DrCanuckMD @IanCopeland5 And “sen Ron Johnson” is qualified in which field of science?,FLproud jasonwoody KristenMeghan DrCanuckMD IanCopeland5 And sen Ron Johnson is qualified in which field of science,neutral
25,25,2023-02-04 23:24:55+00:00,1,Twitter for iPhone,@up_northish @DrEliDavid Show me your evidence that N95 masks do not limit the transmission of Covid.,upnorthish DrEliDavid Show me your evidence that N95 masks do not limit the transmission of Covid,neutral
26,26,2023-02-04 21:17:03+00:00,0,Twitter for iPhone,@up_northish @DrEliDavid Show me.,upnorthish DrEliDavid Show me,neutral
27,27,2023-02-04 21:16:49+00:00,0,Twitter for iPhone,"@FLproud @jasonwoody @KristenMeghan @DrCanuckMD @IanCopeland5 Loooolz, you think a “booster” is an insult. #moronbingo https://t.co/IOb7nYoSvW",FLproud jasonwoody KristenMeghan DrCanuckMD IanCopeland5 Loooolz you think a booster is an insult moronbingo,negative
28,28,2023-02-04 20:02:53+00:00,0,Twitter for iPhone,"@FLproud @jasonwoody @KristenMeghan @DrCanuckMD @IanCopeland5 Cancelled, right?",FLproud jasonwoody KristenMeghan DrCanuckMD IanCopeland5 Cancelled right,negative
29,29,2023-02-04 20:01:54+00:00,0,Twitter for iPhone,"@up_northish @DrEliDavid N95 masks limit the transmission of Covid, it’s a simple fact, unless you can show me a recent study , you’re welcome to.",upnorthish DrEliDavid N95 masks limit the transmission of Covid its a simple fact unless you can show me a recent study youre welcome to,positive
30,30,2023-02-04 19:03:43+00:00,0,Twitter for iPhone,"@hendrick2018 @TheDrJon @stkirsch So does Covid, right?",hendrick2018 TheDrJon stkirsch So does Covid right,neutral
31,31,2023-02-04 19:02:19+00:00,2,Twitter for iPhone,"@Mr_Filsell @celebitchy That PE is full of The Jam memorabilia people go in there and take photos, coupled with him turning up in there, you’d think he’d have something solid to produce, but he’s already paid out millions, it’s surely a bluff.",MrFilsell celebitchy That PE is full of The Jam memorabilia people go in there and take photos coupled with him turning up in there youd think hed have something solid to produce but hes already paid out millions its surely a bluff,positive
32,32,2023-02-04 18:51:41+00:00,2,Twitter for iPhone,@DrBunsenHoneyd6 @liz_churchill8 https://t.co/e3EW1uZHhy,DrBunsenHoneyd6 lizchurchill8,neutral
33,33,2023-02-04 18:49:53+00:00,0,Twitter for iPhone,"@jasonwoody @KristenMeghan @DrCanuckMD @IanCopeland5 She’ll advocate free speech too, right? https://t.co/PRNdSJM01k",jasonwoody KristenMeghan DrCanuckMD IanCopeland5 Shell advocate free speech too right,positive
34,34,2023-02-04 18:40:09+00:00,1,Twitter for iPhone,@KristenMeghan @jasonwoody @DrCanuckMD @IanCopeland5 An echo chamber?,KristenMeghan jasonwoody DrCanuckMD IanCopeland5 An echo chamber,neutral
35,35,2023-02-04 17:02:28+00:00,1,Twitter for iPhone,@stkirsch @DrLizaMD Who confirms the “adverse events” are vaccine related?,stkirsch DrLizaMD Who confirms the adverse events are vaccine related,negative
36,36,2023-02-04 16:59:36+00:00,1,Twitter for iPhone,@AT76167587 @NickAdamsinUSA She’ll still beat this clown at golf though.,AT76167587 NickAdamsinUSA Shell still beat this clown at golf though,neutral
37,37,2023-02-04 16:58:19+00:00,0,Twitter for iPhone,@CllrDavidTooke @andrew_b72 @_HenryBolton Exactly.,CllrDavidTooke andrewb72 HenryBolton Exactly,neutral
38,38,2023-02-04 16:34:08+00:00,0,Twitter for iPhone,@andrew_b72 @CllrDavidTooke @_HenryBolton https://t.co/JGoj3gypiQ,andrewb72 CllrDavidTooke HenryBolton,neutral
39,39,2023-02-04 16:32:29+00:00,0,Twitter for iPhone,"@CllrDavidTooke @andrew_b72 @_HenryBolton Exactly, the Uk government are engineering this ‘problem’",CllrDavidTooke andrewb72 HenryBolton Exactly the Uk government are engineering this problem,negative
40,40,2023-02-04 16:23:48+00:00,2,Twitter for iPhone,"@caroldennis457 @JamesMelville No, because life is more important than bravado.",caroldennis457 JamesMelville No because life is more important than bravado,neutral
41,41,2023-02-04 16:16:10+00:00,0,Twitter for iPhone,"@jordanW54605657 @BadBobLee @DiedSuddenly_ Excess deaths are up, so what?",jordanW54605657 BadBobLee DiedSuddenly Excess deaths are up so what,neutral
42,42,2023-02-04 15:22:14+00:00,0,Twitter for iPhone,@vinylsol Mooooooonster Truk Raicing!,vinylsol Mooooooonster Truk Raicing,neutral
43,43,2023-02-04 15:21:04+00:00,1,Twitter for iPhone,@ChevrusM @BreezerGalway @BadBobLee @DiedSuddenly_ Which rate?,ChevrusM BreezerGalway BadBobLee DiedSuddenly Which rate,neutral
44,44,2023-02-04 15:20:41+00:00,1,Twitter for iPhone,@BadBobLee @DiedSuddenly_ How many times has it actually happened? I’ll wait.,BadBobLee DiedSuddenly How many times has it actually happened Ill wait,negative
45,45,2023-02-04 15:16:34+00:00,1,Twitter for iPhone,@CallMeK1123 You know it.,CallMeK1123 You know it,neutral
46,46,2023-02-04 15:15:27+00:00,1,Twitter for iPhone,@healthbyjames https://t.co/i0xBJZ9EEW,healthbyjames,neutral
47,47,2023-02-04 15:14:46+00:00,2,Twitter for iPhone,"Picnic , I’ve found your missing sandwich!",Picnic Ive found your missing sandwich,negative
48,48,2023-02-04 15:13:00+00:00,1,Twitter for iPhone,@DrAseemMalhotra You’re comparing yourself to MLK?,DrAseemMalhotra Youre comparing yourself to MLK,neutral
49,49,2023-02-04 14:55:50+00:00,1,Twitter for iPhone,@XRPbeachbum @Bennyjj81 @ABridgen Neither are you judging by your sentence.,XRPbeachbum Bennyjj81 ABridgen Neither are you judging by your sentence,positive
50,50,2023-02-04 14:54:59+00:00,0,Twitter for iPhone,@FGolfguy @Bennyjj81 @ABridgen “Vax injured”Where are they all?,FGolfguy Bennyjj81 ABridgen Vax injuredWhere are they all,neutral
51,51,2023-02-04 14:41:03+00:00,0,Twitter for iPhone,@PeterSweden7 “What if” https://t.co/fU1vIX3qEb,PeterSweden7 What if,neutral
52,52,2023-02-04 14:32:35+00:00,1,Twitter for iPhone,"@jeffschreiber1 @BerryTartlet @DrAseemMalhotra Lol, Malhotra published his vaccine paper in a medical journal about insulin in which he actually works for, seriously, why do you think he is credible?",jeffschreiber1 BerryTartlet DrAseemMalhotra Lol Malhotra published his vaccine paper in a medical journal about insulin in which he actually works for seriously why do you think he is credible,positive
53,53,2023-02-04 12:23:46+00:00,0,Twitter for iPhone,"@BooksBiden @StraightGayBi2 @bukster1965 @DrEliDavid But they do, you know it too.
You can’t argue with scientific fact.",BooksBiden StraightGayBi2 bukster1965 DrEliDavid But they do you know it tooYou cant argue with scientific fact,positive
54,54,2023-02-04 09:54:00+00:00,0,Twitter for iPhone,"@jesstfleming @christopherhope Remember the Brexit White Paper, first line of paragraph titled …………. https://t.co/3GV5bYUiCh",jesstfleming christopherhope Remember the Brexit White Paper first line of paragraph titled,neutral
55,55,2023-02-04 09:48:48+00:00,2,Twitter for iPhone,@jesstfleming @NotaTory67 @christopherhope So thanks for confirming.,jesstfleming NotaTory67 christopherhope So thanks for confirming,positive
56,56,2023-02-04 09:47:20+00:00,0,Twitter for iPhone,@christopherhope Only 2018.,christopherhope Only 2018,neutral
57,57,2023-02-04 09:42:06+00:00,1,Twitter for iPhone,@Harryhatch @Ramma_____ @CoastalPalace @ROfiron Tenuous,Harryhatch Ramma CoastalPalace ROfiron Tenuous,neutral
58,58,2023-02-04 09:40:53+00:00,1,Twitter for iPhone,"@MartinPugh73 @SjamaanN @Jonsully72 Or maybe smuggle a tray from the canteen, just in case it snows.",MartinPugh73 SjamaanN Jonsully72 Or maybe smuggle a tray from the canteen just in case it snows,negative
59,59,2023-02-04 09:24:06+00:00,5,Twitter for iPhone,@AdamBienkov I once built a garage for a miniature quad bike. https://t.co/J14wWs7U0h,AdamBienkov I once built a garage for a miniature quad bike,neutral
60,60,2023-02-04 09:20:31+00:00,2,Twitter for iPhone,@EvacTony @_HenryBolton “Invasion “ ?,EvacTony HenryBolton Invasion,neutral
61,61,2023-02-04 09:19:51+00:00,18,Twitter for iPhone,"@_HenryBolton So set up the processing centre in France, let refugees start their claims, then that will separate them from “economic migrants”you know , what we used to do before this was engineered.",HenryBolton So set up the processing centre in France let refugees start their claims then that will separate them from economic migrantsyou know what we used to do before this was engineered,neutral
62,62,2023-02-04 09:08:22+00:00,3,Twitter for iPhone,"@LozzaFox Billies got the kids again, right?",LozzaFox Billies got the kids again right,neutral
63,63,2023-02-04 09:04:19+00:00,0,Twitter for iPhone,@angfresh12 @PrahladFriedman @hoewithacamera @DrLoupis Do you eat pineapple on a Sunday?,angfresh12 PrahladFriedman hoewithacamera DrLoupis Do you eat pineapple on a Sunday,neutral
64,64,2023-02-04 08:47:03+00:00,0,Twitter for iPhone,"@ROfiron @LittleScoff 🐶 💩 

Daily Quordle 376
9️⃣4️⃣
🟥7️⃣
https://t.co/NULuuObzBO",ROfiron LittleScoff Daily Quordle 376947,neutral
65,65,2023-02-04 08:36:52+00:00,1,Twitter for iPhone,"@ROfiron @LittleScoff Wordle 595 3/6
Satdeh!
⬜⬜🟨⬜⬜
⬜🟨🟩⬜🟩
🟩🟩🟩🟩🟩",ROfiron LittleScoff Wordle 595 36Satdeh,neutral
66,66,2023-02-03 23:53:24+00:00,1,Twitter for iPhone,"@Alan__Curtis @LeoKearse And is there a newspaper that does? However, I happen to know they once owned a very lucrative automotive publication. If they’re making deals like that, they’ll be alright…..jack!",AlanCurtis LeoKearse And is there a newspaper that does However I happen to know they once owned a very lucrative automotive publication If theyre making deals like that theyll be alrightjack,positive
67,67,2023-02-03 23:21:15+00:00,0,Twitter for iPhone,@TiceRichard @reformparty_uk This Alex?,TiceRichard reformpartyuk This Alex,neutral
68,68,2023-02-03 22:55:43+00:00,6,Twitter for iPhone,@LeoKearse Not sure if Guardian media are supplying the country with any essential services.,LeoKearse Not sure if Guardian media are supplying the country with any essential services,negative
69,69,2023-02-03 21:49:41+00:00,0,Twitter for iPhone,@ad_I_am Arsenal dodged a bullet.,adIam Arsenal dodged a bullet,neutral
70,70,2023-02-03 21:46:53+00:00,0,Twitter for iPhone,@Metz25465900 @NickAdamsinUSA #Youngman https://t.co/4KcGp5VLXS,Metz25465900 NickAdamsinUSA Youngman,neutral
71,71,2023-02-03 21:39:43+00:00,0,Twitter for iPhone,@GBNEWS Who’s fault this time?,GBNEWS Whos fault this time,negative
72,72,2023-02-03 21:34:56+00:00,1,Twitter for iPhone,Willian will always be Crabman. #MyNameIsEarl #CheFul,Willian will always be Crabman MyNameIsEarl CheFul,neutral
73,73,2023-02-03 21:28:49+00:00,0,Twitter for iPhone,@jmtiwad @Daemonised @NickAdamsinUSA https://t.co/uKUYlZc7Ay,jmtiwad Daemonised NickAdamsinUSA,neutral
74,74,2023-02-03 20:25:01+00:00,0,Twitter for iPhone,@healthbyjames We certainly rattled the anti vax Qanon imbeciles.,healthbyjames We certainly rattled the anti vax Qanon imbeciles,neutral
75,75,2023-02-03 18:20:43+00:00,2,Twitter for iPhone,Friday Night ~vibes~. https://t.co/yrJIU2EbOy,Friday Night vibes,neutral
76,76,2023-02-03 18:09:19+00:00,81,Twitter for iPhone,@celebitchy This will not end well for him.,celebitchy This will not end well for him,negative
77,77,2023-02-03 18:02:27+00:00,0,Twitter for iPhone,@gunnagetworse @SocksPoker @DrEliDavid Which gene does it alter?,gunnagetworse SocksPoker DrEliDavid Which gene does it alter,neutral
78,78,2023-02-03 17:38:03+00:00,0,Twitter for iPhone,@Deadferrets @DrHoenderkamp Moron.,Deadferrets DrHoenderkamp Moron,negative
79,79,2023-02-03 17:10:45+00:00,9,Twitter for iPhone,"@DaddyFiles @NickAdamsinUSA My son paints his nails, he’s heterosexual and more masculine and comfortable with his sexuality than any of these closeted “alpha” cranks.",DaddyFiles NickAdamsinUSA My son paints his nails hes heterosexual and more masculine and comfortable with his sexuality than any of these closeted alpha cranks,positive
80,80,2023-02-03 17:05:58+00:00,0,Twitter for iPhone,@spudtayder @HaackSjhaack63 @mpc_xetts @healthbyjames @BirklandChris https://t.co/FJMlVh1fHB,spudtayder HaackSjhaack63 mpcxetts healthbyjames BirklandChris,neutral
81,81,2023-02-03 16:59:12+00:00,0,Twitter for iPhone,@ProudAm16723252 @DrEliDavid https://t.co/Suympq3D9J,ProudAm16723252 DrEliDavid,neutral
82,82,2023-02-03 16:06:00+00:00,0,Twitter for iPhone,@ProudAm16723252 @DrEliDavid Now do the same for a N95 mask.,ProudAm16723252 DrEliDavid Now do the same for a N95 mask,neutral
83,83,2023-02-03 13:32:21+00:00,0,Twitter for iPhone,@go_fy2020 @Yogi99643217 @misrab @PeterSweden7 Of course they did you fool.,gofy2020 Yogi99643217 misrab PeterSweden7 Of course they did you fool,negative
