,Unnamed: 0,Date Created,Number of Likes,Source of Tweet,Tweets,TweetsNoStop,VADARpredictions
113,113,2023-02-02 19:15:12+00:00,0,Twitter for iPhone,@Greg72639498 @landoak162536 @RobertKennedyJr “American whistle blower” is bull shit.,Greg72639498 landoak162536 RobertKennedyJr American whistle blower is bull shit,negative
114,114,2023-02-02 19:03:16+00:00,1,Twitter for iPhone,@Doctor_Cr @Article4Warrior @healthbyjames https://t.co/xEkYim84XC,DoctorCr Article4Warrior healthbyjames,neutral
115,115,2023-02-02 18:57:18+00:00,0,Twitter for iPhone,"@Thisisus202020 @abiroberts @toryboypierce @mailplus Yes it did, but they still died of Covid, I still don’t understand how you’d keep them safe though, given you probably think masks don’t work.",Thisisus202020 abiroberts toryboypierce mailplus Yes it did but they still died of Covid I still dont understand how youd keep them safe though given you probably think masks dont work,negative
116,116,2023-02-02 18:52:34+00:00,0,Twitter for iPhone,@Greg72639498 @landoak162536 @RobertKennedyJr Loooooolz. Bull shit.,Greg72639498 landoak162536 RobertKennedyJr Loooooolz Bull shit,negative
117,117,2023-02-02 18:51:47+00:00,0,Twitter for iPhone,"@Greg72639498 @landoak162536 @RobertKennedyJr 1/ Is there a large increase?
2/ If there is, is it Covid?",Greg72639498 landoak162536 RobertKennedyJr 1 Is there a large increase2 If there is is it Covid,neutral
118,118,2023-02-02 18:50:16+00:00,0,Twitter for iPhone,@ammejo1 @MichaelJohn81 @shardi2209 @abiroberts @toryboypierce @mailplus Eh?,ammejo1 MichaelJohn81 shardi2209 abiroberts toryboypierce mailplus Eh,neutral
119,119,2023-02-02 18:49:27+00:00,0,Twitter for iPhone,@ammejo1 @abiroberts @toryboypierce @mailplus How do you protect those people?,ammejo1 abiroberts toryboypierce mailplus How do you protect those people,positive
120,120,2023-02-02 18:49:00+00:00,0,Twitter for iPhone,"@ron_hutch @abiroberts @toryboypierce @mailplus If you limit infections then you limit transmission, right?",ronhutch abiroberts toryboypierce mailplus If you limit infections then you limit transmission right,neutral
121,121,2023-02-02 18:48:15+00:00,0,Twitter for iPhone,@MichaelJohn81 @abiroberts @toryboypierce @mailplus Please tell me why?,MichaelJohn81 abiroberts toryboypierce mailplus Please tell me why,positive
122,122,2023-02-02 15:13:58+00:00,0,Twitter for iPhone,@ron_hutch @abiroberts @toryboypierce @mailplus Another crank.,ronhutch abiroberts toryboypierce mailplus Another crank,neutral
123,123,2023-02-02 15:13:11+00:00,0,Twitter for iPhone,"@MichaelJohn81 @shardi2209 @abiroberts @toryboypierce @mailplus Yep, when it was killing 1% of the infected.",MichaelJohn81 shardi2209 abiroberts toryboypierce mailplus Yep when it was killing 1 of the infected,negative
124,124,2023-02-02 15:12:26+00:00,0,Twitter for iPhone,@MichaelJohn81 @abiroberts @toryboypierce @mailplus Vaccines don’t work like that crank.,MichaelJohn81 abiroberts toryboypierce mailplus Vaccines dont work like that crank,negative
125,125,2023-02-02 07:15:43+00:00,0,Twitter for iPhone,"@ROfiron @LittleScoff Get in there!!!!

Daily Quordle 374
8️⃣6️⃣
3️⃣9️⃣
https://t.co/NULuuOc7rm",ROfiron LittleScoff Get in thereDaily Quordle 3748639,neutral
126,126,2023-02-02 05:58:11+00:00,1,Twitter for iPhone,"@LittleScoff @ROfiron Wordle 593 4/6

🟨⬜🟩🟨⬜
⬜🟨🟩🟨⬜
⬜🟩⬜🟩⬜
🟩🟩🟩🟩🟩",LittleScoff ROfiron Wordle 593 46,neutral
127,127,2023-02-02 05:57:55+00:00,1,Twitter for iPhone,"@Greg72639498 @landoak162536 @RobertKennedyJr If you die a sudden death in the UK and you are not under medical supervision, you have a Post Mortem, where are all the PM stating , cause of death , Covid vaccine? Unless you have a conspiracy for that too,right?",Greg72639498 landoak162536 RobertKennedyJr If you die a sudden death in the UK and you are not under medical supervision you have a Post Mortem where are all the PM stating cause of death Covid vaccine Unless you have a conspiracy for that tooright,negative
128,128,2023-02-01 23:09:40+00:00,0,Twitter for iPhone,@steveh1036 @DarthKansasCity @RedDevil680 @healthbyjames In English please.,steveh1036 DarthKansasCity RedDevil680 healthbyjames In English please,positive
129,129,2023-02-01 22:57:41+00:00,1,Twitter for iPhone,@piersmorgan https://t.co/2l8mQmPXXn,piersmorgan,neutral
130,130,2023-02-01 22:24:49+00:00,9,Twitter for iPhone,"@abiroberts @toryboypierce @mailplus You’d have just let Covid run through the vulnerable and elderly without any mitigation, you should be in jail.",abiroberts toryboypierce mailplus Youd have just let Covid run through the vulnerable and elderly without any mitigation you should be in jail,negative
131,131,2023-02-01 22:03:34+00:00,1,Twitter for iPhone,@edwardtimpson @RishiSunak @Conservatives Call for an election now.,edwardtimpson RishiSunak Conservatives Call for an election now,neutral
132,132,2023-02-01 22:00:09+00:00,0,Twitter for iPhone,@soriguana @severson1977 @landoak162536 @RobertKennedyJr “Apparently” https://t.co/2Sv4Go00NO,soriguana severson1977 landoak162536 RobertKennedyJr Apparently,neutral
133,133,2023-02-01 21:41:36+00:00,0,Twitter for iPhone,@severson1977 @landoak162536 @RobertKennedyJr So who confirms vaccine injury?,severson1977 landoak162536 RobertKennedyJr So who confirms vaccine injury,negative
134,134,2023-02-01 21:40:21+00:00,0,Twitter for iPhone,"@soriguana @severson1977 @landoak162536 @RobertKennedyJr So nobody signs it off, as a vaccine injury,right?",soriguana severson1977 landoak162536 RobertKennedyJr So nobody signs it off as a vaccine injuryright,neutral
135,135,2023-02-01 20:35:25+00:00,0,Twitter for iPhone,"@DarthKansasCity @RedDevil680 @healthbyjames I’ll tell you what’s amusing, your pathetic reasoning behind owning a gun.",DarthKansasCity RedDevil680 healthbyjames Ill tell you whats amusing your pathetic reasoning behind owning a gun,negative
136,136,2023-02-01 19:58:25+00:00,0,Twitter for iPhone,@PrivateIncome @JohnDoomen1 @PeterSweden7 https://t.co/zWSmPwfzeO,PrivateIncome JohnDoomen1 PeterSweden7,neutral
137,137,2023-02-01 19:57:19+00:00,1,Twitter for iPhone,@Moai214527262 @PeterSweden7 Here’s a handy bingo card. https://t.co/OPChnHkrTQ,Moai214527262 PeterSweden7 Heres a handy bingo card,neutral
138,138,2023-02-01 19:48:59+00:00,1,Twitter for iPhone,@severson1977 @landoak162536 @RobertKennedyJr Who confirms that an injury is vaccine related on the VAERS?,severson1977 landoak162536 RobertKennedyJr Who confirms that an injury is vaccine related on the VAERS,negative
139,139,2023-02-01 19:47:21+00:00,0,Twitter for iPhone,@LumpyGravy3 @landoak162536 @RobertKennedyJr https://t.co/cul7vfkdNK,LumpyGravy3 landoak162536 RobertKennedyJr,neutral
140,140,2023-02-01 19:47:00+00:00,1,Twitter for iPhone,@landoak162536 @RobertKennedyJr Absolute bollocks.,landoak162536 RobertKennedyJr Absolute bollocks,neutral
141,141,2023-02-01 19:44:03+00:00,2,Twitter for iPhone,@RobertKennedyJr https://t.co/1Dj3lEzyQC,RobertKennedyJr,neutral
142,142,2023-02-01 19:12:36+00:00,0,Twitter for iPhone,@RedDevil680 @DarthKansasCity @healthbyjames Looooolz.,RedDevil680 DarthKansasCity healthbyjames Looooolz,neutral
143,143,2023-02-01 18:18:49+00:00,0,Twitter for iPhone,@RedDevil680 @DarthKansasCity @healthbyjames I’m not the one with an AR-15.,RedDevil680 DarthKansasCity healthbyjames Im not the one with an AR15,neutral
144,144,2023-02-01 12:27:02+00:00,0,Twitter for iPhone,@Frenchie130 @Nigel_Farage @Daily_Express You’ve been hacked.,Frenchie130 NigelFarage DailyExpress Youve been hacked,negative
145,145,2023-02-01 07:17:33+00:00,0,Twitter for iPhone,@LittleScoff @ROfiron Bloody hell………..#scenes,LittleScoff ROfiron Bloody hellscenes,negative
146,146,2023-02-01 06:11:42+00:00,0,Twitter for iPhone,@ROfiron @LittleScoff I don’t have time for quordle,ROfiron LittleScoff I dont have time for quordle,neutral
147,147,2023-02-01 06:03:58+00:00,1,Twitter for iPhone,"@LittleScoff @ROfiron On it!

Wordle 592 5/6

⬜⬜⬜🟨⬜
🟩🟨⬜⬜🟩
🟩⬜🟩⬜🟩
🟩⬜🟩⬜🟩
🟩🟩🟩🟩🟩",LittleScoff ROfiron On itWordle 592 56,neutral
148,148,2023-02-01 06:02:59+00:00,0,Twitter for iPhone,@GlenBradley @Tr330fLib3rty @DarthKansasCity @healthbyjames Not mass shootings.,GlenBradley Tr330fLib3rty DarthKansasCity healthbyjames Not mass shootings,neutral
149,149,2023-02-01 05:53:55+00:00,0,Twitter for iPhone,@GlenBradley @Tr330fLib3rty @DarthKansasCity @healthbyjames Tell me how many  mass shootings have been stopped by “private shooters”?,GlenBradley Tr330fLib3rty DarthKansasCity healthbyjames Tell me how many mass shootings have been stopped by private shooters,negative
150,150,2023-02-01 05:52:34+00:00,0,Twitter for iPhone,"@amunratep @johnlarg @FurFeather3 @RexThando @DrEliDavid No, his intentions are to keep more children alive, are you seriously saying hes advocating a mass population cull?
Of course you are. https://t.co/yQAGoooZ3z",amunratep johnlarg FurFeather3 RexThando DrEliDavid No his intentions are to keep more children alive are you seriously saying hes advocating a mass population cullOf course you are,neutral
151,151,2023-02-01 05:49:48+00:00,0,Twitter for iPhone,@mattypark2 @Tr330fLib3rty @DarthKansasCity @healthbyjames Yep sure.,mattypark2 Tr330fLib3rty DarthKansasCity healthbyjames Yep sure,positive
152,152,2023-02-01 05:36:43+00:00,0,Twitter for iPhone,"@GlenBradley @Tr330fLib3rty @DarthKansasCity @healthbyjames Funny how when a mass shooter turns up, the skills seem to disappear.",GlenBradley Tr330fLib3rty DarthKansasCity healthbyjames Funny how when a mass shooter turns up the skills seem to disappear,positive
153,153,2023-01-31 23:00:01+00:00,0,Twitter for iPhone,@DarthKansasCity @david77SGT @Tr330fLib3rty @healthbyjames But there’s you hiding behind your sofa with your gun.,DarthKansasCity david77SGT Tr330fLib3rty healthbyjames But theres you hiding behind your sofa with your gun,negative
154,154,2023-01-31 22:51:17+00:00,0,Twitter for iPhone,"@DarthKansasCity @david77SGT @Tr330fLib3rty @healthbyjames You’re an American , you’re so stupid, you accept this as normal. https://t.co/xcC6BnlVaU",DarthKansasCity david77SGT Tr330fLib3rty healthbyjames Youre an American youre so stupid you accept this as normal,negative
155,155,2023-01-31 22:47:23+00:00,0,Twitter for iPhone,@Timboslice528 @Tr330fLib3rty @DarthKansasCity @healthbyjames Thanks for proving my point.,Timboslice528 Tr330fLib3rty DarthKansasCity healthbyjames Thanks for proving my point,positive
156,156,2023-01-31 22:46:06+00:00,0,Twitter for iPhone,"@amunratep @johnlarg @FurFeather3 @RexThando @DrEliDavid Looooolz, all he saying is, if children stop dying of childhood diseases then people will have less children. You utter loon.",amunratep johnlarg FurFeather3 RexThando DrEliDavid Looooolz all he saying is if children stop dying of childhood diseases then people will have less children You utter loon,negative
157,157,2023-01-31 22:35:33+00:00,0,Twitter for iPhone,@are_miserable @Tr330fLib3rty @DarthKansasCity @healthbyjames You obviously don’t use them to teach English.,aremiserable Tr330fLib3rty DarthKansasCity healthbyjames You obviously dont use them to teach English,neutral
158,158,2023-01-31 22:00:00+00:00,0,Twitter for iPhone,"@Tr330fLib3rty @DarthKansasCity @healthbyjames You have guns because you live in fear, you’re told the gun will keep you safe but other people with guns are your greatest fear, absolutely nothing to do with rights.",Tr330fLib3rty DarthKansasCity healthbyjames You have guns because you live in fear youre told the gun will keep you safe but other people with guns are your greatest fear absolutely nothing to do with rights,positive
159,159,2023-01-31 21:53:39+00:00,0,Twitter for iPhone,@Tr330fLib3rty @DarthKansasCity @healthbyjames Why would you have a gun?,Tr330fLib3rty DarthKansasCity healthbyjames Why would you have a gun,negative
160,160,2023-01-31 21:53:04+00:00,0,Twitter for iPhone,@amunratep @johnlarg @FurFeather3 @RexThando @DrEliDavid https://t.co/bNvXQC1xC3,amunratep johnlarg FurFeather3 RexThando DrEliDavid,neutral
161,161,2023-01-31 21:48:41+00:00,8,Twitter for iPhone,@DarthKansasCity @healthbyjames That’s because you live in fear.,DarthKansasCity healthbyjames Thats because you live in fear,negative
162,162,2023-01-31 21:47:35+00:00,0,Twitter for iPhone,@FurFeather3 @amunratep @RexThando @DrEliDavid Absolute bollocks.,FurFeather3 amunratep RexThando DrEliDavid Absolute bollocks,neutral
163,163,2023-01-31 20:29:35+00:00,2,Twitter for iPhone,"@snb19692 Steve, you should have reminded him, it’ll soon be #lemonday",snb19692 Steve you should have reminded him itll soon be lemonday,neutral
164,164,2023-01-31 20:19:27+00:00,0,Twitter for iPhone,"@SkyNews Huge Brexit bonus right there, money and cost of living crisis are overrated when you can eat three meals of sovereignty a day!",SkyNews Huge Brexit bonus right there money and cost of living crisis are overrated when you can eat three meals of sovereignty a day,positive
165,165,2023-01-31 20:11:11+00:00,1,Twitter for iPhone,@PetronellaWyatt Another subtle whiff of racism.,PetronellaWyatt Another subtle whiff of racism,negative
166,166,2023-01-31 06:06:49+00:00,1,Twitter for iPhone,@ROfiron @LittleScoff https://t.co/8u4L2wsxia,ROfiron LittleScoff,neutral
167,167,2023-01-31 06:05:15+00:00,0,Twitter for iPhone,@MikeyTheBuddie And there’s no segregation within  women’s prisons.,MikeyTheBuddie And theres no segregation within womens prisons,negative
168,168,2023-01-31 05:50:54+00:00,1,Twitter for iPhone,"@ROfiron @LittleScoff Daily Quordle 372
8️⃣6️⃣
4️⃣7️⃣
https://t.co/NULuuOc7rm",ROfiron LittleScoff Daily Quordle 3728647,neutral
169,169,2023-01-31 05:39:17+00:00,1,Twitter for iPhone,"@ROfiron @LittleScoff Wordle 591 4/6

🟨⬜⬜🟩⬜
⬜🟩🟩🟩🟩
⬜🟩🟩🟩🟩
🟩🟩🟩🟩🟩",ROfiron LittleScoff Wordle 591 46,neutral
170,170,2023-01-30 22:52:23+00:00,1,Twitter for iPhone,"@Arron_banks @john4brexit Where’s the FTA with the USA, crank?",Arronbanks john4brexit Wheres the FTA with the USA crank,neutral
171,171,2023-01-30 22:42:31+00:00,0,Twitter for iPhone,@DonaldWhoAreYa “Blower” does he think he’s Carter  in the Sweeney?,DonaldWhoAreYa Blower does he think hes Carter in the Sweeney,neutral
172,172,2023-01-30 22:25:43+00:00,13,Twitter for iPhone,"@JuliaHB1 @SancastleAir Preferring the life of a suspected rapist and people trafficker over a twenty year old eco activist , I’d say his midlife is a lot more appealing.",JuliaHB1 SancastleAir Preferring the life of a suspected rapist and people trafficker over a twenty year old eco activist Id say his midlife is a lot more appealing,negative
173,173,2023-01-30 22:22:04+00:00,1,Twitter for iPhone,@JuliaHB1 “No peeking” at the benefits. There aren’t any.,JuliaHB1 No peeking at the benefits There arent any,positive
174,174,2023-01-30 21:56:34+00:00,0,Twitter for iPhone,@JamesThV111 @swiz73 @GBNEWS @benjaminbutter @_HenryBolton @CamillaTominey “Apply”? see how you feel to have to ”apply” to live in your own home.,JamesThV111 swiz73 GBNEWS benjaminbutter HenryBolton CamillaTominey Apply see how you feel to have to apply to live in your own home,neutral
175,175,2023-01-30 21:54:57+00:00,1,Twitter for iPhone,"@swiz73 @GBNEWS @benjaminbutter @_HenryBolton @CamillaTominey 90 days in, then I believe it’s 90 days before returning .",swiz73 GBNEWS benjaminbutter HenryBolton CamillaTominey 90 days in then I believe its 90 days before returning,neutral
176,176,2023-01-30 20:51:22+00:00,0,Twitter for iPhone,@reakov85 @DrEliDavid Like when Malhotra published his finest work on vaccines in a Insulin journal?,reakov85 DrEliDavid Like when Malhotra published his finest work on vaccines in a Insulin journal,positive
177,177,2023-01-30 20:30:27+00:00,0,Twitter for iPhone,@KiddShelleen @TommyRobinsonNS Not with noncey mates like these   https://t.co/hJvfPrgaXg,KiddShelleen TommyRobinsonNS Not with noncey mates like these,positive
178,178,2023-01-30 19:29:50+00:00,0,Twitter for iPhone,"@NeilStrong48 @inbetweeters @healthbyjames Are you fibbing Neil, “all” of them?",NeilStrong48 inbetweeters healthbyjames Are you fibbing Neil all of them,neutral
179,179,2023-01-30 19:29:13+00:00,0,Twitter for iPhone,"@NeilStrong48 @inbetweeters @healthbyjames Hi Neil, Covid gives you myocarditis, links were established well before vaccines were administered.",NeilStrong48 inbetweeters healthbyjames Hi Neil Covid gives you myocarditis links were established well before vaccines were administered,positive
180,180,2023-01-30 19:27:49+00:00,0,Twitter for iPhone,@healthbyjames No,healthbyjames No,negative
181,181,2023-01-30 19:26:58+00:00,0,Twitter for iPhone,@bodhxsattva @DrAseemMalhotra @RetsefL @elonmusk You pay £8 for an #egotick typical loon.,bodhxsattva DrAseemMalhotra RetsefL elonmusk You pay 8 for an egotick typical loon,negative
182,182,2023-01-30 19:25:27+00:00,0,Twitter for iPhone,"@KiddShelleen @TommyRobinsonNS Let’s hope all these far right Tommeh types are still behind bars, eh lads? https://t.co/hJvfPrgaXg",KiddShelleen TommyRobinsonNS Lets hope all these far right Tommeh types are still behind bars eh lads,positive
183,183,2023-01-30 19:22:48+00:00,0,Twitter for iPhone,"@JaneHogarth84 @ShanaWorks @PeterSweden7 “Open your eyes”
“There’s none so blind as those who can see”",JaneHogarth84 ShanaWorks PeterSweden7 Open your eyesTheres none so blind as those who can see,positive
184,184,2023-01-30 19:21:21+00:00,0,Twitter for iPhone,"@ShanaWorks @PeterSweden7 Yeah, controlled through 5G and chem trails !",ShanaWorks PeterSweden7 Yeah controlled through 5G and chem trails,positive
185,185,2023-01-30 06:38:48+00:00,1,Twitter for iPhone,"@ROfiron @LittleScoff Daily Quordle 371
7️⃣4️⃣
🟥8️⃣
https://t.co/NULuuOc7rm Monday can do one.",ROfiron LittleScoff Daily Quordle 371748 Monday can do one,neutral
186,186,2023-01-30 06:32:01+00:00,0,Twitter for iPhone,"@ROfiron @LittleScoff Wordle 590 X/6
Scenes.
🟨🟨⬜⬜🟩
⬜⬜🟩🟨🟩
⬜🟩🟩⬜🟩
⬜🟩🟩⬜🟩
⬜🟩🟩⬜🟩
🟩🟩🟩⬜🟩",ROfiron LittleScoff Wordle 590 X6Scenes,neutral
187,187,2023-01-30 06:09:52+00:00,0,Twitter for iPhone,"@amunratep @FurFeather3 @RexThando @DrEliDavid Again, bull shit.",amunratep FurFeather3 RexThando DrEliDavid Again bull shit,negative
188,188,2023-01-30 06:08:28+00:00,0,Twitter for iPhone,@amunratep @FurFeather3 @RexThando @DrEliDavid It doesn’t quite work like that.,amunratep FurFeather3 RexThando DrEliDavid It doesnt quite work like that,negative
189,189,2023-01-30 06:07:21+00:00,0,Twitter for iPhone,@StraightGayBi2 @YouthfulScrub @bukster1965 @DrEliDavid Africa has much lower average age.,StraightGayBi2 YouthfulScrub bukster1965 DrEliDavid Africa has much lower average age,negative
190,190,2023-01-30 06:02:45+00:00,0,Twitter for iPhone,@StraightGayBi2 @YouthfulScrub @bukster1965 @DrEliDavid Correlation does not mean causation.,StraightGayBi2 YouthfulScrub bukster1965 DrEliDavid Correlation does not mean causation,neutral
191,191,2023-01-29 22:32:01+00:00,0,Twitter for iPhone,@YouthfulScrub @StraightGayBi2 @bukster1965 @DrEliDavid Infections were said to be the same as Spain but the younger population deaths seemed to be lower.,YouthfulScrub StraightGayBi2 bukster1965 DrEliDavid Infections were said to be the same as Spain but the younger population deaths seemed to be lower,negative
192,192,2023-01-29 22:24:40+00:00,0,Twitter for iPhone,"@StraightGayBi2 @bukster1965 @DrEliDavid Indeed it is, and you’re wrong.",StraightGayBi2 bukster1965 DrEliDavid Indeed it is and youre wrong,negative
193,193,2023-01-29 22:18:24+00:00,0,Twitter for iPhone,@Elizabe98989334 @onestep4ward @liz_churchill8 https://t.co/9Whngsda0S,Elizabe98989334 onestep4ward lizchurchill8,neutral
194,194,2023-01-29 22:17:38+00:00,0,Twitter for iPhone,"@KimSher63749103 @onestep4ward @liz_churchill8 Go on, show us your evidence.",KimSher63749103 onestep4ward lizchurchill8 Go on show us your evidence,neutral
195,195,2023-01-29 21:32:33+00:00,0,Twitter for iPhone,"@Cat4FreeCanada @DrEliDavid The point being, it’s under review, so shouldn’t be taken too seriously, right?",Cat4FreeCanada DrEliDavid The point being its under review so shouldnt be taken too seriously right,negative
196,196,2023-01-29 21:11:50+00:00,0,Twitter for iPhone,@Cat4FreeCanada @DrEliDavid Is this  a red flag? https://t.co/FJzBxObWnW,Cat4FreeCanada DrEliDavid Is this a red flag,neutral
197,197,2023-01-29 20:25:52+00:00,0,Twitter for iPhone,"@CryptoSala @RexThando @DrEliDavid Wow, that’s some conspiracy you have there and there’s me thinking these are just normal people, turns out they’re “77th brigade” #WhoKnew",CryptoSala RexThando DrEliDavid Wow thats some conspiracy you have there and theres me thinking these are just normal people turns out theyre 77th brigade WhoKnew,positive
198,198,2023-01-29 20:18:51+00:00,0,Twitter for iPhone,@CryptoSala @RexThando @DrEliDavid I don’t even know what a “mutton” account is?,CryptoSala RexThando DrEliDavid I dont even know what a mutton account is,neutral
199,199,2023-01-29 20:17:58+00:00,0,Twitter for iPhone,@Ottojizzmark CarelessFinger,Ottojizzmark CarelessFinger,neutral
200,200,2023-01-29 20:16:17+00:00,0,Twitter for iPhone,@CliveSmartagain @sharky_park @dudleylad1066 Do you find it difficult being this much of an ignorant ount?,CliveSmartagain sharkypark dudleylad1066 Do you find it difficult being this much of an ignorant ount,negative
