,Date Created,Number of Likes,Source of Tweet,Tweets
38,2023-02-04 16:34:08+00:00,0,Twitter for iPhone,@andrew_b72 @CllrDavidTooke @_HenryBolton https://t.co/JGoj3gypiQ
39,2023-02-04 16:32:29+00:00,0,Twitter for iPhone,"@CllrDavidTooke @andrew_b72 @_HenryBolton Exactly, the Uk government are engineering this ‘problem’"
40,2023-02-04 16:23:48+00:00,2,Twitter for iPhone,"@caroldennis457 @JamesMelville No, because life is more important than bravado."
41,2023-02-04 16:16:10+00:00,0,Twitter for iPhone,"@jordanW54605657 @BadBobLee @DiedSuddenly_ Excess deaths are up, so what?"
42,2023-02-04 15:22:14+00:00,0,Twitter for iPhone,@vinylsol Mooooooonster Truk Raicing!
43,2023-02-04 15:21:04+00:00,1,Twitter for iPhone,@ChevrusM @BreezerGalway @BadBobLee @DiedSuddenly_ Which rate?
44,2023-02-04 15:20:41+00:00,1,Twitter for iPhone,@BadBobLee @DiedSuddenly_ How many times has it actually happened? I’ll wait.
45,2023-02-04 15:16:34+00:00,1,Twitter for iPhone,@CallMeK1123 You know it.
46,2023-02-04 15:15:27+00:00,1,Twitter for iPhone,@healthbyjames https://t.co/i0xBJZ9EEW
47,2023-02-04 15:14:46+00:00,2,Twitter for iPhone,"Picnic , I’ve found your missing sandwich!"
48,2023-02-04 15:13:00+00:00,1,Twitter for iPhone,@DrAseemMalhotra You’re comparing yourself to MLK?
49,2023-02-04 14:55:50+00:00,1,Twitter for iPhone,@XRPbeachbum @Bennyjj81 @ABridgen Neither are you judging by your sentence.
50,2023-02-04 14:54:59+00:00,0,Twitter for iPhone,@FGolfguy @Bennyjj81 @ABridgen “Vax injured”Where are they all?
51,2023-02-04 14:41:03+00:00,0,Twitter for iPhone,@PeterSweden7 “What if” https://t.co/fU1vIX3qEb
52,2023-02-04 14:32:35+00:00,1,Twitter for iPhone,"@jeffschreiber1 @BerryTartlet @DrAseemMalhotra Lol, Malhotra published his vaccine paper in a medical journal about insulin in which he actually works for, seriously, why do you think he is credible?"
53,2023-02-04 12:23:46+00:00,0,Twitter for iPhone,"@BooksBiden @StraightGayBi2 @bukster1965 @DrEliDavid But they do, you know it too.
You can’t argue with scientific fact."
54,2023-02-04 09:54:00+00:00,0,Twitter for iPhone,"@jesstfleming @christopherhope Remember the Brexit White Paper, first line of paragraph titled …………. https://t.co/3GV5bYUiCh"
55,2023-02-04 09:48:48+00:00,2,Twitter for iPhone,@jesstfleming @NotaTory67 @christopherhope So thanks for confirming.
56,2023-02-04 09:47:20+00:00,0,Twitter for iPhone,@christopherhope Only 2018.
57,2023-02-04 09:42:06+00:00,1,Twitter for iPhone,@Harryhatch @Ramma_____ @CoastalPalace @ROfiron Tenuous
58,2023-02-04 09:40:53+00:00,1,Twitter for iPhone,"@MartinPugh73 @SjamaanN @Jonsully72 Or maybe smuggle a tray from the canteen, just in case it snows."
59,2023-02-04 09:24:06+00:00,5,Twitter for iPhone,@AdamBienkov I once built a garage for a miniature quad bike. https://t.co/J14wWs7U0h
60,2023-02-04 09:20:31+00:00,2,Twitter for iPhone,@EvacTony @_HenryBolton “Invasion “ ?
61,2023-02-04 09:19:51+00:00,18,Twitter for iPhone,"@_HenryBolton So set up the processing centre in France, let refugees start their claims, then that will separate them from “economic migrants”you know , what we used to do before this was engineered."
62,2023-02-04 09:08:22+00:00,3,Twitter for iPhone,"@LozzaFox Billies got the kids again, right?"
63,2023-02-04 09:04:19+00:00,0,Twitter for iPhone,@angfresh12 @PrahladFriedman @hoewithacamera @DrLoupis Do you eat pineapple on a Sunday?
64,2023-02-04 08:47:03+00:00,0,Twitter for iPhone,"@ROfiron @LittleScoff 🐶 💩 

Daily Quordle 376
9️⃣4️⃣
🟥7️⃣
https://t.co/NULuuObzBO"
65,2023-02-04 08:36:52+00:00,1,Twitter for iPhone,"@ROfiron @LittleScoff Wordle 595 3/6
Satdeh!
⬜⬜🟨⬜⬜
⬜🟨🟩⬜🟩
🟩🟩🟩🟩🟩"
66,2023-02-03 23:53:24+00:00,1,Twitter for iPhone,"@Alan__Curtis @LeoKearse And is there a newspaper that does? However, I happen to know they once owned a very lucrative automotive publication. If they’re making deals like that, they’ll be alright…..jack!"
67,2023-02-03 23:21:15+00:00,0,Twitter for iPhone,@TiceRichard @reformparty_uk This Alex?
68,2023-02-03 22:55:43+00:00,6,Twitter for iPhone,@LeoKearse Not sure if Guardian media are supplying the country with any essential services.
69,2023-02-03 21:49:41+00:00,0,Twitter for iPhone,@ad_I_am Arsenal dodged a bullet.
70,2023-02-03 21:46:53+00:00,0,Twitter for iPhone,@Metz25465900 @NickAdamsinUSA #Youngman https://t.co/4KcGp5VLXS
71,2023-02-03 21:39:43+00:00,0,Twitter for iPhone,@GBNEWS Who’s fault this time?
72,2023-02-03 21:34:56+00:00,1,Twitter for iPhone,Willian will always be Crabman. #MyNameIsEarl #CheFul
73,2023-02-03 21:28:49+00:00,0,Twitter for iPhone,@jmtiwad @Daemonised @NickAdamsinUSA https://t.co/uKUYlZc7Ay
74,2023-02-03 20:25:01+00:00,0,Twitter for iPhone,@healthbyjames We certainly rattled the anti vax Qanon imbeciles.
75,2023-02-03 18:20:43+00:00,2,Twitter for iPhone,Friday Night ~vibes~. https://t.co/yrJIU2EbOy
76,2023-02-03 18:09:19+00:00,81,Twitter for iPhone,@celebitchy This will not end well for him.
77,2023-02-03 18:02:27+00:00,0,Twitter for iPhone,@gunnagetworse @SocksPoker @DrEliDavid Which gene does it alter?
78,2023-02-03 17:38:03+00:00,0,Twitter for iPhone,@Deadferrets @DrHoenderkamp Moron.
79,2023-02-03 17:10:45+00:00,9,Twitter for iPhone,"@DaddyFiles @NickAdamsinUSA My son paints his nails, he’s heterosexual and more masculine and comfortable with his sexuality than any of these closeted “alpha” cranks."
80,2023-02-03 17:05:58+00:00,0,Twitter for iPhone,@spudtayder @HaackSjhaack63 @mpc_xetts @healthbyjames @BirklandChris https://t.co/FJMlVh1fHB
81,2023-02-03 16:59:12+00:00,0,Twitter for iPhone,@ProudAm16723252 @DrEliDavid https://t.co/Suympq3D9J
82,2023-02-03 16:06:00+00:00,0,Twitter for iPhone,@ProudAm16723252 @DrEliDavid Now do the same for a N95 mask.
83,2023-02-03 13:32:21+00:00,0,Twitter for iPhone,@go_fy2020 @Yogi99643217 @misrab @PeterSweden7 Of course they did you fool.
84,2023-02-03 13:31:35+00:00,0,Twitter for iPhone,"@go_fy2020 @misrab @PeterSweden7 Ivermectin looooolz, unless you can shit Covid out."
85,2023-02-03 12:27:33+00:00,0,Twitter for iPhone,@anbesi Slowly Slowly catchy monkey
86,2023-02-03 12:24:27+00:00,2,Twitter for iPhone,@GBNEWS Gammon. https://t.co/b3SJiT0abr
87,2023-02-03 06:07:34+00:00,1,Twitter for iPhone,"@aretieare @Elliswk7Kennedy @DrAseemMalhotra You’re all fcuking mental, “goes deep “ looooooolz"
88,2023-02-03 06:03:30+00:00,2,Twitter for iPhone,"@PippaCrerar She wouldn’t be credible at a kids party, never mind , a room full of adults."
89,2023-02-03 05:59:52+00:00,1,Twitter for iPhone,"@ROfiron @LittleScoff Daily Quordle 375
9️⃣7️⃣
6️⃣5️⃣
https://t.co/NULuuObzBO"
90,2023-02-03 05:42:16+00:00,1,Twitter for iPhone,"@ROfiron @LittleScoff Friday!

Wordle 594 6/6

⬜🟩⬜🟨⬜
🟨🟩⬜⬜🟩
⬜🟩🟩🟩🟩
⬜🟩🟩🟩🟩
⬜🟩🟩🟩🟩
🟩🟩🟩🟩🟩"
91,2023-02-03 05:38:33+00:00,2,Twitter for iPhone,"@ConsPost You’ve taken our freedom of movement, you’re not taking more of our rights."
92,2023-02-03 05:37:37+00:00,0,Twitter for iPhone,@go_fy2020 @misrab @PeterSweden7 You’re a moron if you believe this shit.
